"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 18 12:39:32 EAT 2023","Tue Jul 18 12:39:38 EAT 2023","6001","","My Login application","","","","should login with valid credentials",""
"passed","Tue Jul 18 12:48:13 EAT 2023","Tue Jul 18 12:48:26 EAT 2023","13147","","Demo Tests","","","","My first Test",""
